complaint_id,vehicle_id,complaint_date,category,status,resolution_days
CMP0032,V0509,2024-12-08,Poor Staff Behaviour,RESOLVED,3.0
CMP0033,V0278,2025-08-18,Part Unavailability,Escalated,3.0
CMP0034,V0150,2026-05-28,Billing Issue,Open,0.0
CMP0035,V0386,2025-01-13,Battery Drain,Open,3.0
CMP0036,V0194,2024-12-31,Poor Staff Behaviour,Closed,2.0
CMP0037,V0284,2025-07-19,Delayed Service,Escalated,3.0
CMP0038,V0053,2024-12-21,Poor Staff Behaviour,open,8.0
CMP0039,V0111,2025-06-24,Software Glitch,Open,3.0
CMP0040,V0144,2026-03-04,Battery Drain,Open,2.0
CMP0041,V0072,2026-01-24,Part Unavailability,Escalated,5.0
CMP0042,V0131,2025-07-31,Brake Issue,Resolved,8.0
CMP0043,V0041,2024-11-03,Battery Drain,Open,5.0
CMP0044,V0115,2026-05-19,Billing Issue,Escalated,5.0
CMP0045,V0441,2026-04-23,Charging Issue,open,1.0
CMP0046,V0274,2024-09-08,Delayed Service,Resolved,2.0
CMP0047,V0024,2024-12-22,Delayed Service,Resolved,2.0
CMP0048,V0393,2024-10-14,Battery Drain,Resolved,5.0
CMP0049,V0094,2025-09-02,Billing Issue,Closed,5.0
CMP0050,V0128,2025-09-12,Brake Issue,Resolved,
CMP0051,V0248,2025-06-01,AC Not Cooling,Resolved,1.0
CMP0052,V0287,2025-06-26,Delayed Service,RESOLVED,
CMP0053,V0316,2024-11-23,Charging Issue,Closed,14.0
CMP0054,V0457,2026-01-13,Noise/Vibration,Closed,0.0
CMP0055,V0455,2025-02-14,Brake Issue,open,8.0
CMP0056,V0390,2025-03-24,Billing Issue,Resolved,
CMP0057,V0504,2025-04-25,Software Glitch,Escalated,5.0
CMP0058,V0022,2026-04-16,Brake Issue,Closed,5.0
CMP0059,V0211,2025-04-25,Noise/Vibration,open,8.0
CMP0060,V0387,2025-11-10,Delayed Service,Resolved,3.0
CMP0061,V0322,2024-11-08,Delayed Service,RESOLVED,2.0
CMP0062,V0298,2026-01-31,Charging Issue,Closed,3.0
CMP0063,V0025,2024-10-14,Delayed Service,RESOLVED,5.0
CMP0064,V0067,2026-06-26,Battery Drain,Closed,14.0
CMP0065,V0354,2026-07-17,Poor Staff Behaviour,Closed,0.0
CMP0066,V0457,2026-06-18,Brake Issue,Escalated,0.0
CMP0067,V0357,2025-11-26,Billing Issue,Closed,2.0
CMP0068,V0162,2026-02-14,Charging Issue,RESOLVED,14.0
CMP0069,V0530,2025-07-06,Delayed Service,Open,14.0
CMP0070,V0391,2026-02-26,Delayed Service,Open,14.0
CMP0071,V0163,2026-01-15,Part Unavailability,Open,
CMP0072,V0257,2026-02-09,Billing Issue,Closed,
CMP0073,V0153,2026-02-02,Brake Issue,Escalated,14.0
CMP0074,V0191,2025-10-26,AC Not Cooling,open,2.0
CMP0075,V0069,2026-04-13,,Open,0.0
CMP0076,V0181,2025-08-29,Brake Issue,Resolved,3.0
CMP0077,V0242,2024-12-11,Delayed Service,open,
CMP0078,V0079,2024-08-27,Noise/Vibration,Escalated,
CMP0079,V0184,2025-10-29,Poor Staff Behaviour,open,14.0
CMP0080,V0378,2025-12-27,Part Unavailability,Resolved,1.0
CMP0081,V0252,2025-07-19,,Escalated,2.0
CMP0082,V0526,2025-04-13,Part Unavailability,Open,5.0
CMP0083,V0404,2024-12-29,Battery Drain,Closed,
CMP0084,V0160,2026-02-01,Charging Issue,Escalated,1.0
CMP0085,V0286,2025-03-14,AC Not Cooling,RESOLVED,3.0
CMP0086,V0113,2026-03-10,Charging Issue,Open,1.0
CMP0087,V0069,2025-02-07,Battery Drain,Escalated,1.0
CMP0088,V0472,2025-08-17,Brake Issue,open,3.0
CMP0089,V0414,2024-09-26,Part Unavailability,Escalated,3.0
CMP0090,V0415,2025-09-04,Brake Issue,Resolved,5.0
CMP0091,V0516,2025-09-09,Battery Drain,Resolved,1.0
CMP0092,V0076,2025-08-28,Billing Issue,Open,2.0
CMP0093,V0423,2026-07-01,Software Glitch,Open,2.0
CMP0094,V0323,2025-03-18,Battery Drain,Resolved,14.0
CMP0095,V0446,2025-05-29,AC Not Cooling,Closed,14.0
CMP0096,V0144,2026-02-26,Brake Issue,Resolved,2.0
CMP0097,V0146,2026-07-20,Delayed Service,Closed,
CMP0098,V0259,2024-09-21,Poor Staff Behaviour,Escalated,3.0
CMP0099,V0210,2026-07-13,Battery Drain,Resolved,3.0
CMP0100,V0150,2026-05-29,Billing Issue,Escalated,0.0
CMP0101,V0055,2026-02-07,Brake Issue,Open,3.0
CMP0102,V0302,2025-07-02,Part Unavailability,Closed,5.0
CMP0103,V0042,2025-03-13,Poor Staff Behaviour,Open,14.0
CMP0104,V0361,2026-05-26,Part Unavailability,Resolved,2.0
CMP0105,V0012,2025-04-08,Part Unavailability,Escalated,1.0
CMP0106,V0062,2025-05-02,Delayed Service,RESOLVED,
CMP0107,V0534,2024-12-21,Brake Issue,Escalated,3.0
CMP0108,V0472,2025-03-20,Billing Issue,Escalated,2.0
CMP0109,V0053,2025-08-12,Noise/Vibration,Closed,5.0
CMP0110,V0500,2025-02-01,Battery Drain,RESOLVED,5.0
CMP0111,V0519,2024-12-23,AC Not Cooling,Closed,
CMP0112,V0339,2026-07-09,Billing Issue,Resolved,3.0
CMP0113,V0146,2025-02-27,Noise/Vibration,open,1.0
CMP0114,V0394,2025-11-08,Battery Drain,Open,1.0
CMP0115,V0311,2024-11-07,AC Not Cooling,Resolved,
CMP0116,V0429,2025-02-07,AC Not Cooling,Closed,3.0
CMP0117,V0262,2025-03-13,Battery Drain,Open,1.0
CMP0118,V0168,2024-10-31,Poor Staff Behaviour,Open,2.0
CMP0119,V0225,2025-09-29,Poor Staff Behaviour,Open,1.0
CMP0120,V0082,2025-08-28,Software Glitch,open,14.0
CMP0121,V0382,2024-12-23,Charging Issue,open,2.0
CMP0122,V0339,2025-11-02,Part Unavailability,Resolved,2.0
CMP0123,V0533,2024-09-20,Charging Issue,Resolved,14.0
CMP0124,V0232,2026-06-04,Poor Staff Behaviour,Escalated,3.0
CMP0125,V0337,2025-09-19,Poor Staff Behaviour,RESOLVED,2.0
CMP0126,V0415,2025-01-11,Charging Issue,Escalated,
CMP0127,V0264,2025-08-13,AC Not Cooling,open,
CMP0128,V0229,2026-04-15,Delayed Service,Closed,1.0
CMP0129,V0157,2025-05-19,Part Unavailability,open,8.0
CMP0130,V0372,2025-03-16,Brake Issue,open,3.0
CMP0131,V0340,2026-07-15,AC Not Cooling,open,1.0
CMP0132,V0493,2025-06-29,Noise/Vibration,Escalated,8.0
CMP0133,V0059,2025-07-13,Brake Issue,Resolved,14.0
CMP0134,V0425,2024-11-22,Software Glitch,Escalated,0.0
CMP0135,V0122,2025-07-19,Poor Staff Behaviour,Closed,3.0
CMP0136,V0220,2026-06-24,Delayed Service,Escalated,14.0
CMP0137,V0250,2026-01-27,Software Glitch,Resolved,1.0
CMP0138,V0335,2026-06-24,Noise/Vibration,Open,14.0
CMP0139,V0085,2024-11-17,Battery Drain,Resolved,
CMP0140,V0439,2026-06-02,AC Not Cooling,Open,0.0
CMP0141,V0003,2025-08-17,AC Not Cooling,Escalated,0.0
CMP0142,V0376,2024-10-24,Software Glitch,RESOLVED,14.0
CMP0143,V0090,2024-11-30,Billing Issue,Escalated,
CMP0144,V0103,2025-03-13,Charging Issue,Open,
CMP0145,V0041,2025-12-23,Delayed Service,Resolved,14.0
CMP0146,V0401,2026-07-30,Noise/Vibration,Escalated,3.0
CMP0147,V0299,2026-04-01,Noise/Vibration,open,5.0
CMP0148,V0292,2026-02-17,Poor Staff Behaviour,open,
CMP0149,V0267,2025-01-31,Part Unavailability,Open,14.0
CMP0150,V0509,2024-10-15,Billing Issue,Open,8.0
CMP0151,V0403,2024-12-14,AC Not Cooling,RESOLVED,8.0
CMP0152,V0485,2025-04-24,Part Unavailability,Escalated,2.0
CMP0153,V0301,2025-07-19,Brake Issue,Closed,14.0
CMP0154,V0241,2026-02-10,Billing Issue,RESOLVED,14.0
CMP0155,V0335,2025-12-26,AC Not Cooling,RESOLVED,3.0
CMP0156,V0159,2024-10-15,Battery Drain,open,
CMP0157,V0121,2026-01-06,Poor Staff Behaviour,Resolved,
CMP0158,V0153,2026-06-05,Software Glitch,RESOLVED,2.0
CMP0159,V0328,2024-09-19,Poor Staff Behaviour,Closed,8.0
CMP0160,V0420,2024-11-03,Part Unavailability,RESOLVED,
CMP0161,V0310,2026-01-19,Poor Staff Behaviour,RESOLVED,1.0
CMP0162,V0035,2025-09-07,Delayed Service,Escalated,3.0
CMP0163,V0068,2025-01-08,Billing Issue,Closed,
CMP0164,V0192,2025-10-04,Brake Issue,RESOLVED,3.0
CMP0165,V0332,2026-04-26,Software Glitch,RESOLVED,14.0
CMP0166,V0433,2025-11-22,Charging Issue,RESOLVED,14.0
CMP0167,V0189,2026-07-16,AC Not Cooling,Escalated,
CMP0168,V0426,2025-11-23,Software Glitch,Resolved,
CMP0169,V0044,2025-02-17,Part Unavailability,open,1.0
CMP0170,V0508,2025-10-24,AC Not Cooling,Closed,1.0
CMP0171,V0040,2026-05-21,Software Glitch,RESOLVED,8.0
CMP0172,V0352,2025-01-29,Software Glitch,Open,2.0
CMP0173,V0108,2025-01-12,Part Unavailability,Resolved,14.0
CMP0174,V0217,2025-07-31,,Escalated,
CMP0175,V0544,2025-08-11,Charging Issue,open,5.0
CMP0176,V0202,2025-01-05,Battery Drain,Closed,8.0
CMP0177,V0298,2025-08-20,Poor Staff Behaviour,Open,14.0
CMP0178,V0292,2024-11-26,Charging Issue,RESOLVED,3.0
CMP0179,V0065,2025-11-29,Poor Staff Behaviour,open,3.0
CMP0180,V0237,2024-10-25,Charging Issue,Resolved,14.0
CMP0181,V0461,2025-09-03,Battery Drain,Resolved,8.0
CMP0182,V0261,2026-02-01,Part Unavailability,Resolved,0.0
CMP0183,V0042,2025-01-25,Poor Staff Behaviour,Resolved,14.0
CMP0184,V0407,2025-07-05,Battery Drain,Open,
CMP0185,V0281,2025-08-15,Brake Issue,Open,5.0
CMP0186,V0514,2025-11-11,Billing Issue,open,8.0
CMP0187,V0053,2026-01-23,Delayed Service,open,5.0
CMP0188,V0295,2024-09-19,Delayed Service,Closed,14.0
CMP0189,V0337,2026-01-06,Delayed Service,Open,8.0
CMP0190,V0440,2025-11-13,Delayed Service,Closed,
CMP0191,V0022,2025-11-26,Billing Issue,Resolved,
CMP0192,V0300,2025-02-09,AC Not Cooling,Closed,3.0
CMP0193,V0209,2025-05-03,Noise/Vibration,Escalated,2.0
CMP0194,V0317,2025-09-13,Part Unavailability,RESOLVED,8.0
CMP0195,V0071,2026-07-20,AC Not Cooling,Open,
CMP0196,V0004,2026-05-25,Billing Issue,Resolved,0.0
CMP0197,V0117,2026-04-28,Noise/Vibration,open,2.0
CMP0198,V0548,2026-05-23,Poor Staff Behaviour,RESOLVED,0.0
CMP0199,V0285,2025-12-23,Noise/Vibration,Escalated,2.0
CMP0200,V0181,2025-08-15,Part Unavailability,Escalated,1.0
CMP0201,V0019,2025-11-25,Noise/Vibration,Open,5.0
CMP0202,V0167,2025-11-02,AC Not Cooling,open,
CMP0203,V0548,2025-09-23,Software Glitch,Open,14.0
CMP0204,V0349,2025-03-25,Brake Issue,Open,14.0
CMP0205,V0525,2025-01-29,Delayed Service,Resolved,3.0
CMP0206,V0195,2026-07-26,Charging Issue,RESOLVED,3.0
CMP0207,V0069,2026-06-08,Delayed Service,RESOLVED,8.0
CMP0208,V0507,2026-03-03,Brake Issue,Escalated,3.0
CMP0209,V0378,2025-06-24,Battery Drain,Closed,0.0
CMP0210,V0193,2025-07-14,Software Glitch,Open,
CMP0211,V0382,2025-02-18,Battery Drain,Escalated,3.0
CMP0212,V0475,2025-06-28,Noise/Vibration,open,
CMP0213,V0534,2024-12-28,Charging Issue,Resolved,0.0
CMP0214,V0485,2026-07-22,Software Glitch,Open,5.0
CMP0215,V0034,2025-12-17,Software Glitch,Resolved,8.0
CMP0216,V0320,2025-05-03,Billing Issue,Open,3.0
CMP0217,V0110,2025-06-09,Billing Issue,RESOLVED,
CMP0218,V0141,2024-11-23,Brake Issue,Resolved,14.0
CMP0219,V0288,2026-05-28,Noise/Vibration,open,3.0
CMP0220,V0373,2026-04-28,Billing Issue,RESOLVED,
CMP0221,V0308,2026-05-15,Billing Issue,Escalated,0.0
CMP0222,V0190,2025-11-04,AC Not Cooling,open,14.0
CMP0223,V0103,2026-01-06,Billing Issue,Escalated,0.0
CMP0224,V0326,2024-09-12,Charging Issue,Resolved,1.0
CMP0225,V0081,2025-03-05,Billing Issue,open,2.0
CMP0226,V0082,2025-01-26,Charging Issue,RESOLVED,5.0
CMP0227,V0305,2026-05-06,Billing Issue,Open,8.0
CMP0228,V0414,2025-06-16,Billing Issue,Closed,0.0
CMP0229,V0096,2025-10-07,Battery Drain,Resolved,2.0
CMP0230,V0071,2025-04-15,Charging Issue,Open,
CMP0231,V0110,2025-12-28,Poor Staff Behaviour,Escalated,0.0
CMP0232,V0416,2025-06-18,AC Not Cooling,open,2.0
CMP0233,V0254,2026-04-05,AC Not Cooling,Resolved,
CMP0234,V0107,2025-06-28,Poor Staff Behaviour,Resolved,0.0
CMP0235,V0130,2025-02-28,Part Unavailability,Resolved,14.0
CMP0236,V0418,2024-09-30,Part Unavailability,Escalated,
CMP0237,V0193,2025-08-11,Battery Drain,Closed,1.0
CMP0238,V0217,2025-01-29,Delayed Service,open,3.0
CMP0239,V0300,2025-11-30,Charging Issue,Closed,3.0
CMP0240,V0295,2024-09-24,Noise/Vibration,RESOLVED,5.0
CMP0241,V0431,2025-07-15,Poor Staff Behaviour,Open,5.0
CMP0242,V0118,2025-01-30,Billing Issue,RESOLVED,1.0
CMP0243,V0132,2026-05-24,Charging Issue,Open,14.0
CMP0244,V0255,2025-09-17,Battery Drain,Resolved,
CMP0245,V0256,2026-03-14,Noise/Vibration,RESOLVED,8.0
CMP0246,V0405,2024-11-10,Delayed Service,Escalated,
CMP0247,V0116,2026-07-30,Delayed Service,RESOLVED,8.0
CMP0248,V0114,2025-11-11,Brake Issue,Open,0.0
CMP0249,V0350,2024-11-24,AC Not Cooling,RESOLVED,1.0
CMP0250,V0127,2025-09-20,Brake Issue,Closed,2.0
CMP0251,V0532,2026-07-17,Delayed Service,RESOLVED,3.0
CMP0252,V0150,2024-09-06,Delayed Service,RESOLVED,2.0
CMP0253,V0249,2025-05-26,Brake Issue,Open,2.0
CMP0254,V0259,2026-03-15,Poor Staff Behaviour,Resolved,
CMP0255,V0063,2025-04-22,Battery Drain,RESOLVED,14.0
CMP0256,V0470,2025-05-06,Brake Issue,Open,1.0
CMP0257,V0295,2026-03-04,Billing Issue,Resolved,
CMP0258,V0437,2024-10-07,Part Unavailability,Open,3.0
CMP0259,V0466,2024-09-26,Delayed Service,Closed,8.0
CMP0260,V0206,2025-01-22,,Closed,2.0
CMP0261,V0277,2025-09-17,Poor Staff Behaviour,Resolved,1.0
CMP0262,V0018,2026-08-12,Poor Staff Behaviour,Closed,8.0
CMP0263,V0225,2026-04-26,Part Unavailability,RESOLVED,5.0
CMP0264,V0149,2025-06-07,Software Glitch,open,
CMP0265,V0261,2026-01-28,Part Unavailability,Escalated,2.0
CMP0266,V0414,2025-03-22,Charging Issue,Open,
CMP0267,V0248,2024-12-17,Delayed Service,RESOLVED,2.0
CMP0268,V0543,2025-05-22,Poor Staff Behaviour,open,8.0
CMP0269,V0004,2025-06-20,Battery Drain,Escalated,
CMP0270,V0430,2025-09-30,Poor Staff Behaviour,Resolved,0.0
CMP0271,V0192,2025-02-19,Billing Issue,RESOLVED,
CMP0272,V0436,2024-08-31,Billing Issue,open,14.0
CMP0273,V0205,2026-05-02,Charging Issue,open,8.0
CMP0274,V0366,2026-02-24,Poor Staff Behaviour,open,
CMP0275,V0201,2025-09-10,Battery Drain,Escalated,2.0
CMP0276,V0366,2025-08-23,Part Unavailability,Escalated,1.0
CMP0277,V0505,2026-03-23,Battery Drain,RESOLVED,5.0
CMP0278,V0079,2024-09-21,AC Not Cooling,Resolved,
CMP0279,V0421,2025-03-16,Poor Staff Behaviour,Closed,1.0
CMP0280,V0548,2024-09-08,Noise/Vibration,RESOLVED,0.0
CMP0281,V0452,2025-11-26,Delayed Service,Resolved,1.0
CMP0282,V0380,2026-01-06,Billing Issue,Open,
CMP0283,V0419,2024-09-15,Billing Issue,RESOLVED,
CMP0284,V0461,2026-02-21,Software Glitch,Resolved,0.0
CMP0285,V0122,2026-04-08,Billing Issue,open,
CMP0286,V0550,2025-05-25,Delayed Service,Open,14.0
CMP0287,V0488,2025-06-10,AC Not Cooling,RESOLVED,5.0
CMP0288,V0007,2026-04-12,Delayed Service,Closed,3.0
CMP0289,V0339,2026-05-24,Part Unavailability,open,
CMP0290,V0235,2026-05-14,Battery Drain,Closed,2.0
CMP0291,V0358,2024-10-16,Poor Staff Behaviour,open,14.0
CMP0292,V0169,2025-08-25,Noise/Vibration,RESOLVED,
CMP0293,V0022,2026-01-18,AC Not Cooling,Resolved,1.0
CMP0294,V0240,2026-02-08,AC Not Cooling,Resolved,8.0
CMP0295,V0215,2024-09-05,Poor Staff Behaviour,Open,2.0
CMP0296,V0461,2026-02-15,Battery Drain,Open,1.0
CMP0297,V0210,2025-09-21,Billing Issue,RESOLVED,14.0
CMP0298,V0443,2026-06-24,AC Not Cooling,Closed,0.0
CMP0299,V0388,2024-10-30,Software Glitch,Open,
CMP0300,V0546,2025-10-25,Brake Issue,Open,14.0
CMP0301,V0087,2025-06-03,Noise/Vibration,Resolved,1.0
CMP0302,V0426,2026-04-21,,RESOLVED,
CMP0303,V0171,2026-05-12,Part Unavailability,RESOLVED,5.0
CMP0304,V0544,2026-03-18,Charging Issue,Escalated,5.0
CMP0305,V0464,2025-06-28,Part Unavailability,RESOLVED,5.0
CMP0306,V0221,2026-02-16,AC Not Cooling,open,3.0
CMP0307,V0456,2025-03-30,Charging Issue,Resolved,2.0
CMP0308,V0021,2025-07-23,Brake Issue,open,2.0
CMP0309,V0477,2024-11-02,Charging Issue,Open,14.0
CMP0310,V0130,2026-07-31,Part Unavailability,Open,1.0
CMP0311,V0491,2025-10-17,Charging Issue,RESOLVED,8.0
CMP0312,V0139,2025-05-24,AC Not Cooling,open,
CMP0313,V0238,2025-07-01,Battery Drain,open,1.0
CMP0314,V0076,2025-01-31,Noise/Vibration,Escalated,5.0
CMP0315,V0538,2025-06-15,Billing Issue,Escalated,2.0
CMP0316,V0140,2025-03-13,Brake Issue,Closed,0.0
CMP0317,V0211,2025-03-17,Delayed Service,RESOLVED,
CMP0318,V0092,2026-01-17,Poor Staff Behaviour,Open,5.0
CMP0319,V0433,2025-08-27,Noise/Vibration,RESOLVED,5.0
CMP0320,V0330,2025-05-28,Billing Issue,Escalated,8.0
CMP0321,V0031,2026-08-17,Battery Drain,Open,
CMP0322,V0025,2026-02-04,Battery Drain,Open,8.0
CMP0323,V0331,2026-07-18,Charging Issue,Open,8.0
CMP0324,V0085,2026-03-02,,Closed,3.0
CMP0325,V0381,2026-01-26,Charging Issue,Open,
CMP0326,V0154,2025-07-18,Brake Issue,RESOLVED,2.0
CMP0327,V0118,2025-10-18,Billing Issue,Escalated,5.0
CMP0328,V0268,2024-09-09,AC Not Cooling,open,5.0
CMP0329,V0489,2026-03-08,Noise/Vibration,Resolved,5.0
CMP0330,V0180,2025-07-14,Part Unavailability,open,2.0
CMP0331,V0044,2025-08-05,Battery Drain,open,3.0
CMP0332,V0446,2024-11-09,Charging Issue,Open,0.0
CMP0333,V0003,2025-04-06,Brake Issue,Escalated,1.0
CMP0334,V0350,2024-12-05,Part Unavailability,Escalated,
CMP0335,V0543,2025-11-25,Brake Issue,open,
CMP0336,V0126,2024-10-22,Billing Issue,open,1.0
CMP0337,V0234,2025-10-06,Battery Drain,Escalated,2.0
CMP0338,V0318,2025-01-20,Charging Issue,Closed,14.0
CMP0339,V0043,2026-07-11,Poor Staff Behaviour,Open,0.0
CMP0340,V0417,2025-10-29,Charging Issue,open,3.0
CMP0341,V0472,2024-10-22,Battery Drain,open,14.0
CMP0342,V0539,2025-06-12,Battery Drain,Escalated,0.0
CMP0343,V0049,2026-04-26,,Escalated,14.0
CMP0344,V0542,2025-09-08,Part Unavailability,open,
CMP0345,V0006,2026-04-27,Billing Issue,RESOLVED,8.0
CMP0346,V0182,2026-02-28,Poor Staff Behaviour,Resolved,3.0
CMP0347,V0529,2024-10-04,Delayed Service,open,8.0
CMP0348,V0066,2025-08-17,,RESOLVED,1.0
CMP0349,V0068,2025-06-19,Brake Issue,open,
CMP0350,V0303,2026-02-14,Charging Issue,RESOLVED,5.0
