service_id,vehicle_id,service_date,service_type,technician,cost_inr,days_taken
S00065,V0263,2025-02-08,Battery Check,R. Sharma,2784.02,5
S00066,V0449,2025-02-27,Software Update,K. Reddy,836.18,7
S00067,V0388,2025-03-22,AC Repair,A. Verma,3634.01,7
S00068,V0231,2024-11-11,Brake Repair,R. Sharma,5266.88,2
S00069,V0021,2025-04-27,Oil Change,A. Verma,2103.04,3
S00070,V0175,2025-10-28,Oil Change,,1941.05,1
S00071,V0347,,Body Repair,N. Gupta,8680.01,1
S00072,V0442,2026-07-11,Brake Repair,S. Iyer,4893.06,1
S00073,V0104,2025-10-14,Software Update,K. Reddy,1326.97,2
S00074,V0289,2024-11-23,Oil Change,K. Reddy,2647.61,7
S00075,V0158,2025-04-08,General Service,K. Reddy,3894.04,1
S00076,V0302,2025-05-26,Insurance Claim,N. Gupta,20526.86,2
S00077,V0100,2026-02-11,General Service,P. Nair,1634.1,1
S00078,V0485,2025-04-06,Battery Check,K. Reddy,1433.96,7
S00079,V0501,2025-10-27,Software Update,S. Iyer,815.6,3
S00080,V0391,2025-01-07,Oil Change,P. Nair,2489.34,7
S00081,V0477,2025-06-01,Brake Repair,R. Sharma,1712.08,1
S00082,V0100,2025-06-27,Battery Check,,2303.01,5
S00083,V0233,2026-03-08,Software Update,,755.76,5
S00084,V0549,2026-03-27,Insurance Claim,N. Gupta,21264.79,2
S00085,V0488,2026-07-05,General Service,R. Sharma,1614.41,1
S00086,V0124,2024-11-22,Oil Change,M. Khan,757.44,2
S00087,V0130,2025-12-20,General Service,K. Reddy,3220.27,2
S00088,V0152,2025-10-27,General Service,A. Verma,2564.15,1
S00089,V0398,2024-11-07,Suspension Work,D. Singh,3839.6,2
S00090,V0533,2024-08-28,Motor Repair,R. Sharma,8200.84,5
S00091,V0116,2026-05-07,Battery Check,A. Verma,1323.71,1
S00092,V0293,2025-04-09,Suspension Work,K. Reddy,11089.1,2
S00093,V0393,2026-04-10,Insurance Claim,N. Gupta,22728.58,1
S00094,V0177,2025-03-26,Tyre Replacement,K. Reddy,2843.4,1
S00095,V0406,2025-01-29,AC Repair,R. Sharma,3198.96,7
S00096,V0276,2026-01-01,Motor Repair,P. Nair,13568.2,2
S00097,V0504,2024-12-07,Oil Change,S. Iyer,300.0,2
S00098,V0454,2025-03-17,Brake Repair,A. Verma,4120.19,2
S00099,V0453,2026-02-19,Oil Change,K. Reddy,1654.51,7
S00100,V0529,2026-05-04,AC Repair,,4352.85,1
S00101,V0068,2026-04-19,Tyre Replacement,K. Reddy,9882.81,1
S00102,V0537,2024-09-16,Oil Change,M. Khan,2509.74,1
S00103,V0256,2025-04-13,General Service,D. Singh,2264.72,2
S00104,V0281,2025-08-24,AC Repair,,2144.51,5
S00105,V0127,2026-01-07,Motor Repair,N. Gupta,28510.14,7
S00106,V0182,2025-03-09,Motor Repair,D. Singh,15310.9,3
S00107,V0168,2026-05-03,Tyre Replacement,A. Verma,6029.25,2
S00108,V0029,2025-10-15,General Service,M. Khan,2478.89,2
S00109,V0231,2025-11-26,Software Update,,855.46,1
S00110,V0010,2025-01-26,Motor Repair,S. Iyer,14242.11,1
S00111,V0230,2025-03-23,Tyre Replacement,P. Nair,4795.31,2
S00112,V0434,2026-07-29,Software Update,N. Gupta,646.88,2
S00113,V0224,2024-10-03,Motor Repair,,14828.05,5
S00114,V0105,2026-04-06,General Service,D. Singh,2024.5,2
S00115,V0306,2024-12-11,Oil Change,D. Singh,1350.91,2
S00116,V0333,2026-01-27,General Service,P. Nair,2593.13,2
S00117,V0154,2026-05-03,Suspension Work,R. Sharma,6375.31,5
S00118,V0328,2026-07-06,Battery Check,N. Gupta,2289.6,2
S00119,V0266,2025-02-02,Software Update,R. Sharma,300.0,2
S00120,V0352,2026-02-10,Oil Change,N. Gupta,2487.65,3
S00121,V0520,2026-06-27,Tyre Replacement,,8616.78,1
S00122,V0301,2026-03-12,Battery Check,P. Nair,411.47,1
S00123,V0344,2026-05-10,Motor Repair,M. Khan,13200.89,2
S00124,V0431,2026-02-04,AC Repair,P. Nair,3044.98,7
S00125,V0121,2025-03-28,Battery Check,N. Gupta,761.06,2
S00126,V0513,2026-04-09,Battery Check,K. Reddy,1091.65,2
S00127,V0424,2026-06-19,General Service,S. Iyer,1528.25,1
S00128,V0206,2024-12-16,AC Repair,N. Gupta,5646.53,1
S00129,V0324,2024-09-06,Brake Repair,N. Gupta,5575.45,3
S00130,V0182,2025-06-04,AC Repair,R. Sharma,5057.65,7
S00131,V0281,2025-06-26,Oil Change,S. Iyer,2254.65,1
S00132,V0502,2025-08-03,Brake Repair,K. Reddy,2540.29,5
S00133,V0440,2025-05-03,Battery Check,,1224.63,2
S00134,V0383,2025-06-04,General Service,,2928.2,2
S00135,V0019,2024-10-13,General Service,M. Khan,1430.64,2
S00136,V0353,2026-02-04,Brake Repair,,5248.11,2
S00137,V0172,2025-03-16,Battery Check,P. Nair,1373.83,2
S00138,V0467,2026-06-27,Suspension Work,D. Singh,6081.69,5
S00139,V0138,2026-01-16,AC Repair,N. Gupta,4370.93,3
S00140,V0193,2025-09-26,Brake Repair,K. Reddy,4853.07,1
S00141,V0234,2024-11-01,Oil Change,S. Iyer,1572.59,2
S00142,V0023,2025-04-15,Body Repair,A. Verma,16869.19,3
S00143,V0039,2026-03-23,Software Update,P. Nair,497.3,1
S00144,V0050,2026-05-16,Battery Check,R. Sharma,1823.37,1
S00145,V0427,2024-09-30,Motor Repair,N. Gupta,18113.78,1
S00146,V0211,2026-07-06,Insurance Claim,P. Nair,22291.47,5
S00147,V0104,2025-04-01,Insurance Claim,S. Iyer,27853.66,5
S00148,V0108,2025-12-13,Suspension Work,A. Verma,3934.77,2
S00149,V0117,2025-10-17,Battery Check,M. Khan,1985.11,2
S00150,V0536,2025-07-11,Software Update,P. Nair,748.23,1
S00151,V0041,2025-08-09,Suspension Work,M. Khan,5719.33,7
S00152,V0339,2026-06-08,General Service,A. Verma,3417.88,1
S00153,V0506,2025-01-22,Brake Repair,,3164.61,1
S00154,V0104,2026-04-01,Tyre Replacement,N. Gupta,3042.23,2
S00155,V0271,2025-01-12,Software Update,R. Sharma,364.14,2
S00156,V0369,2025-12-11,Battery Check,A. Verma,1818.16,1
S00157,V0010,2025-05-13,Brake Repair,S. Iyer,2317.77,3
S00158,V0367,2026-05-09,Motor Repair,P. Nair,24212.67,1
S00159,V0382,2024-11-04,Brake Repair,K. Reddy,1139.56,7
S00160,V0279,2026-03-19,Software Update,N. Gupta,1275.01,5
S00161,V0171,2026-05-11,General Service,R. Sharma,2684.64,1
S00162,V0107,2025-05-24,Software Update,N. Gupta,772.92,7
S00163,V0186,2026-08-10,Body Repair,D. Singh,9711.34,1
S00164,V0134,2025-12-31,Motor Repair,A. Verma,17095.46,5
S00165,V0452,2024-12-22,Motor Repair,R. Sharma,14802.42,2
S00166,V0347,2024-10-02,Suspension Work,A. Verma,9703.09,5
S00167,V0255,2025-05-08,Software Update,S. Iyer,831.98,1
S00168,V0012,2025-08-03,Insurance Claim,,26315.14,7
S00169,V0508,2026-07-13,Software Update,D. Singh,698.19,2
S00170,V0339,2024-11-15,Oil Change,,1764.12,5
S00171,V0413,2025-09-02,Brake Repair,N. Gupta,4652.47,1
S00172,V0511,2025-04-26,Software Update,R. Sharma,321.15,1
S00173,V0414,2025-07-05,Battery Check,A. Verma,792.2,2
S00174,V0521,2024-12-08,Software Update,D. Singh,1008.11,3
S00175,V0056,2026-02-01,Oil Change,D. Singh,1907.65,7
S00176,V0373,,General Service,M. Khan,2339.01,1
S00177,V0350,2024-11-16,AC Repair,P. Nair,3522.58,3
S00178,V0109,2025-06-07,General Service,N. Gupta,2804.13,1
S00179,V0420,2025-03-31,Software Update,M. Khan,648.87,1
S00180,V0403,2025-10-31,Oil Change,M. Khan,1309.67,3
S00181,V0111,2024-12-26,Battery Check,N. Gupta,1602.82,7
S00182,V0517,2026-02-17,Brake Repair,R. Sharma,2761.79,1
S00183,V0444,2026-03-12,Body Repair,,13714.66,1
S00184,V0178,2026-08-16,General Service,D. Singh,1010.24,5
S00185,V0429,2025-12-25,Body Repair,M. Khan,16322.45,2
S00186,V0408,2024-10-26,AC Repair,N. Gupta,4078.93,1
S00187,V0142,2025-07-26,Software Update,,871.69,2
S00188,V0322,2026-04-12,Suspension Work,M. Khan,9407.59,2
S00189,V0298,2025-05-28,Insurance Claim,S. Iyer,39572.9,1
S00190,V0516,2025-11-27,Suspension Work,D. Singh,9485.21,1
S00191,V0361,2025-07-13,Suspension Work,K. Reddy,2489.86,2
S00192,V0433,2024-08-30,General Service,R. Sharma,1380.37,5
S00193,V0149,2024-11-15,General Service,M. Khan,1953.28,2
S00194,V0165,2024-11-19,Tyre Replacement,S. Iyer,6054.79,1
S00195,V0303,2025-12-03,Oil Change,R. Sharma,2126.13,3
S00196,V0464,2026-06-17,Battery Check,,1118.98,2
S00197,V0399,2025-02-02,Oil Change,P. Nair,1917.66,1
S00198,V0391,2025-10-24,Software Update,D. Singh,588.49,1
S00199,V0014,2026-08-13,Brake Repair,M. Khan,3301.07,3
S00200,V0202,2025-08-07,Oil Change,A. Verma,913.8,1
S00201,V0178,2026-01-11,Oil Change,K. Reddy,1218.36,2
S00202,V0271,2024-10-30,Motor Repair,R. Sharma,7903.66,3
S00203,V0478,2025-10-29,Motor Repair,R. Sharma,9876.67,2
S00204,V0503,2025-05-29,Body Repair,A. Verma,16425.3,3
S00205,V0539,2026-08-22,Oil Change,,1201.88,1
S00206,V0518,2026-01-17,Brake Repair,,8069.6,5
S00207,V0095,2025-03-28,Software Update,D. Singh,938.13,3
S00208,V0370,2024-11-21,Software Update,,851.75,1
S00209,V0118,2025-04-16,Software Update,M. Khan,559.66,1
S00210,V0329,2026-01-25,Software Update,A. Verma,996.09,5
S00211,V0263,2026-05-14,Suspension Work,R. Sharma,5589.69,3
S00212,V0527,2025-09-18,Suspension Work,R. Sharma,7298.92,2
S00213,V0198,2025-06-14,AC Repair,A. Verma,6636.1,1
S00214,V0547,2026-01-16,General Service,M. Khan,2415.95,2
S00215,V0435,2025-06-05,General Service,K. Reddy,3505.61,1
S00216,V0158,2026-04-11,General Service,D. Singh,1884.72,1
S00217,V0090,2026-03-17,Brake Repair,,4148.57,1
S00218,V0234,2025-09-13,Tyre Replacement,N. Gupta,9718.68,5
S00219,V0444,2024-10-07,General Service,A. Verma,1951.4,1
S00220,V0065,2026-04-25,Oil Change,D. Singh,2941.84,1
S00221,V0297,2025-09-19,Insurance Claim,A. Verma,31192.83,2
S00222,V0449,2026-04-12,Software Update,R. Sharma,642.51,7
S00223,V0161,2025-12-11,General Service,K. Reddy,3053.36,2
S00224,V0148,2026-02-23,Tyre Replacement,D. Singh,8042.36,1
S00225,V0145,2025-01-20,Software Update,,974.11,1
S00226,V0313,2025-12-16,Oil Change,D. Singh,810.76,2
S00227,V0423,2024-11-15,Insurance Claim,S. Iyer,18637.55,1
S00228,V0189,2026-05-14,Oil Change,P. Nair,1644.06,2
S00229,V0118,2026-01-12,Brake Repair,R. Sharma,4090.58,7
S00230,V0075,2024-08-25,Tyre Replacement,P. Nair,7303.41,1
S00231,V0203,2025-07-14,Body Repair,D. Singh,12746.34,3
S00232,V0132,2025-04-08,Insurance Claim,A. Verma,13315.74,2
S00233,V0072,2024-09-19,Oil Change,N. Gupta,2039.52,3
S00234,V0314,2025-10-16,Motor Repair,D. Singh,18205.58,5
S00235,V0173,2025-12-12,General Service,M. Khan,2989.82,5
S00236,V0284,2024-10-25,General Service,D. Singh,3445.68,7
S00237,V0474,2025-02-25,Motor Repair,N. Gupta,19378.09,1
S00238,V0180,2026-02-23,Insurance Claim,P. Nair,29017.83,1
S00239,V0202,2024-10-22,Tyre Replacement,A. Verma,5852.65,1
S00240,V0020,2024-11-21,Suspension Work,K. Reddy,2930.65,2
S00241,V0038,2025-03-28,Software Update,S. Iyer,920.29,3
S00242,V0402,2026-07-29,Oil Change,P. Nair,1930.84,1
S00243,V0476,2024-12-25,Suspension Work,K. Reddy,7665.37,3
S00244,V0515,2026-08-06,General Service,S. Iyer,1382.84,1
S00245,V0457,2025-12-16,General Service,S. Iyer,1554.08,7
S00246,V0368,2025-02-19,Brake Repair,M. Khan,5748.13,1
S00247,V0271,2024-09-24,Software Update,,788.92,3
S00248,V0398,2026-07-14,Motor Repair,R. Sharma,18577.88,1
S00249,V0332,2026-06-14,Battery Check,,1514.87,2
S00250,V0270,2025-03-24,Body Repair,S. Iyer,12124.98,5
S00251,V0388,2025-09-16,AC Repair,A. Verma,4649.4,2
S00252,V0386,2024-12-02,Oil Change,D. Singh,1474.89,3
S00253,V0499,2025-08-15,Motor Repair,R. Sharma,15504.63,1
S00254,V0451,2025-04-07,General Service,P. Nair,2095.51,2
S00255,V0154,2026-06-18,General Service,A. Verma,2119.82,2
S00256,V0425,2026-08-20,AC Repair,N. Gupta,3121.26,7
S00257,V0491,2025-11-08,Oil Change,K. Reddy,1939.94,1
S00258,V0250,2025-08-30,General Service,S. Iyer,2081.09,1
S00259,V0525,2026-01-06,General Service,S. Iyer,3598.79,1
S00260,V0171,2025-12-19,Tyre Replacement,,4121.32,5
S00261,V0020,2024-09-23,Insurance Claim,A. Verma,23364.87,2
S00262,V0460,2024-09-17,Body Repair,N. Gupta,10153.13,1
S00263,V0225,2024-12-03,Software Update,S. Iyer,1205.15,2
S00264,V0172,2026-05-09,Insurance Claim,N. Gupta,26719.85,1
S00265,V0236,2025-01-26,Battery Check,R. Sharma,2041.72,2
S00266,V0536,2024-11-28,Suspension Work,S. Iyer,3360.38,1
S00267,V0182,2025-09-29,Motor Repair,R. Sharma,16402.01,1
S00268,V0096,2025-10-28,Motor Repair,,19670.56,1
S00269,V0442,2025-03-12,Suspension Work,R. Sharma,7201.6,5
S00270,V0235,2026-02-05,Motor Repair,K. Reddy,20593.77,3
S00271,V0101,2025-06-26,Software Update,M. Khan,655.16,1
S00272,V0291,2025-09-27,Body Repair,K. Reddy,17919.26,2
S00273,V0194,2025-02-28,General Service,R. Sharma,4511.54,1
S00274,V0533,,General Service,M. Khan,2182.52,3
S00275,V0419,2024-12-19,Software Update,P. Nair,675.26,2
S00276,V0549,2025-07-21,Software Update,P. Nair,1206.95,5
S00277,V0209,2026-07-13,Software Update,,1242.28,7
S00278,V0184,2025-12-29,AC Repair,N. Gupta,2859.5,2
S00279,V0315,2026-07-10,Software Update,S. Iyer,682.35,1
S00280,V0236,2024-12-04,Motor Repair,S. Iyer,13520.63,1
S00281,V0220,2025-01-17,Suspension Work,D. Singh,3706.1,1
S00282,V0165,2025-11-25,Software Update,R. Sharma,542.78,1
S00283,V0149,2025-03-06,Motor Repair,K. Reddy,9728.26,1
S00284,V0066,2025-11-27,Oil Change,R. Sharma,1316.29,5
S00285,V0411,2025-12-06,Body Repair,P. Nair,11854.32,1
S00286,V0180,2026-01-26,Insurance Claim,R. Sharma,27049.38,2
S00287,V0531,2025-10-08,General Service,,3856.69,2
S00288,V0174,2025-12-08,Oil Change,R. Sharma,1171.04,1
S00289,V0089,2025-08-30,Tyre Replacement,D. Singh,8067.08,5
S00290,V0416,2024-12-19,Oil Change,A. Verma,1665.19,1
S00291,V0292,2026-04-14,Suspension Work,D. Singh,6878.81,3
S00292,V0284,2025-04-10,Oil Change,M. Khan,2225.14,7
S00293,V0414,2026-03-20,Software Update,K. Reddy,485.64,1
S00294,V0075,2025-05-26,Battery Check,,1700.77,2
S00295,V0257,2026-07-27,Motor Repair,N. Gupta,15873.87,2
S00296,V0348,,Motor Repair,R. Sharma,17585.37,7
S00297,V0120,2025-03-07,General Service,M. Khan,2753.02,2
S00298,V0324,2025-09-14,Software Update,,1487.48,1
S00299,V0270,2026-01-03,Brake Repair,D. Singh,3262.52,1
S00300,V0183,2025-06-15,Motor Repair,M. Khan,12212.27,2
S00301,V0188,2025-04-19,Insurance Claim,M. Khan,19547.52,7
S00302,V0205,,Oil Change,P. Nair,1450.05,2
S00303,V0235,2026-06-17,Oil Change,D. Singh,1398.45,1
S00304,V0110,2026-03-13,Battery Check,N. Gupta,2124.23,1
S00305,V0044,2024-12-06,Motor Repair,N. Gupta,22457.65,2
S00306,V0503,2026-03-28,Brake Repair,,3361.0,2
S00307,V0408,2025-03-10,Oil Change,S. Iyer,1275.62,1
S00308,V0539,2024-11-01,Software Update,,932.0,1
S00309,V0515,2026-08-08,AC Repair,S. Iyer,2823.53,7
S00310,V0124,2025-01-31,Suspension Work,R. Sharma,8550.68,1
S00311,V0216,2026-07-18,Software Update,D. Singh,856.82,3
S00312,V0266,2026-03-17,Brake Repair,M. Khan,1971.86,2
S00313,V0483,2024-11-20,Body Repair,S. Iyer,18499.52,7
S00314,V0435,2025-09-10,Oil Change,D. Singh,2931.4,3
S00315,V0411,2026-05-23,Tyre Replacement,S. Iyer,4713.14,2
S00316,V0103,2025-10-26,Tyre Replacement,,5185.83,5
S00317,V0391,2026-04-03,General Service,S. Iyer,2750.13,7
S00318,V0010,2024-10-30,Brake Repair,S. Iyer,4691.65,3
S00319,V0499,2025-05-04,General Service,R. Sharma,3076.23,5
S00320,V0102,2025-10-14,Motor Repair,N. Gupta,25553.57,1
S00321,V0461,2025-03-16,Motor Repair,,14071.03,2
S00322,V0353,2025-03-08,General Service,D. Singh,1801.49,2
S00323,V0179,2024-11-02,Software Update,N. Gupta,413.79,1
S00324,V0391,2024-09-26,General Service,S. Iyer,1860.44,1
S00325,V0346,2025-04-11,Software Update,K. Reddy,790.72,1
S00326,V0082,2026-02-22,Brake Repair,D. Singh,6838.0,3
S00327,V0299,2025-01-01,Tyre Replacement,K. Reddy,4913.02,2
S00328,V0456,2026-04-03,AC Repair,,3774.14,7
S00329,V0424,2025-12-30,Oil Change,S. Iyer,1789.65,2
S00330,V0258,2026-03-21,Brake Repair,A. Verma,5946.94,1
S00331,V0066,2025-09-29,Motor Repair,R. Sharma,28266.4,5
S00332,V0537,2026-05-28,General Service,S. Iyer,2035.49,1
S00333,V0400,2025-06-12,Motor Repair,N. Gupta,12430.44,1
S00334,V0135,2025-10-28,Suspension Work,R. Sharma,9558.19,1
S00335,V0366,2025-02-27,AC Repair,N. Gupta,4335.32,2
S00336,V0456,2026-01-05,Brake Repair,,6914.66,1
S00337,V0468,2026-01-25,Insurance Claim,K. Reddy,30109.37,2
S00338,V0356,2025-12-15,Motor Repair,A. Verma,13113.72,7
S00339,V0316,2024-12-04,AC Repair,S. Iyer,4223.55,2
S00340,V0011,2025-10-10,General Service,S. Iyer,3470.12,3
S00341,V0294,2025-03-05,Motor Repair,N. Gupta,19307.53,7
S00342,V0307,2026-06-24,General Service,P. Nair,2943.86,2
S00343,V0008,2025-12-02,Software Update,,1098.67,5
S00344,V0405,2025-05-19,Software Update,K. Reddy,1127.4,2
S00345,V0270,2026-03-13,Battery Check,M. Khan,2225.63,2
S00346,V0292,2025-12-30,Insurance Claim,P. Nair,30676.21,5
S00347,V0193,2025-06-23,Motor Repair,A. Verma,14122.63,7
S00348,V0464,2025-07-22,Tyre Replacement,N. Gupta,6308.1,2
S00349,V0329,2025-07-08,Battery Check,S. Iyer,2133.42,1
S00350,V0289,2025-05-07,Brake Repair,R. Sharma,2999.1,2
S00351,V0093,2025-07-30,Oil Change,D. Singh,2032.26,5
S00352,V0320,2025-03-19,Motor Repair,N. Gupta,12934.97,1
S00353,V0339,2026-07-19,Battery Check,S. Iyer,1515.09,1
S00354,V0273,2025-09-06,Brake Repair,S. Iyer,6079.32,2
S00355,V0257,2026-01-29,Software Update,A. Verma,853.51,2
S00356,V0395,2026-06-28,Battery Check,M. Khan,1524.38,7
S00357,V0097,2025-02-05,Suspension Work,M. Khan,3668.35,7
S00358,V0399,,Insurance Claim,D. Singh,31529.72,1
S00359,V0044,2024-10-24,Suspension Work,P. Nair,8581.44,7
S00360,V0306,2025-04-02,Oil Change,R. Sharma,3162.85,2
S00361,V0116,2026-03-08,Oil Change,D. Singh,1606.1,1
S00362,V0172,2026-05-01,Tyre Replacement,K. Reddy,6460.22,2
S00363,V0010,2025-11-28,General Service,N. Gupta,2718.21,1
S00364,V0381,2024-10-17,Brake Repair,A. Verma,6518.86,3
S00365,V0062,2025-02-13,Software Update,,773.32,1
S00366,V0129,2024-10-29,General Service,D. Singh,2744.14,7
S00367,V0198,2025-10-16,General Service,D. Singh,3031.91,1
S00368,V0257,2024-10-22,General Service,N. Gupta,2663.28,2
S00369,V0502,2025-03-18,Oil Change,,1518.75,3
S00370,V0332,2026-07-02,General Service,,2669.83,1
S00371,V0071,2026-04-04,Motor Repair,P. Nair,20636.57,3
S00372,V0465,2024-08-29,General Service,,1601.8,5
S00373,V0190,2026-07-16,General Service,D. Singh,2616.35,2
S00374,V0329,2025-12-29,Battery Check,,1132.44,5
S00375,V0195,2026-07-04,Suspension Work,,9927.86,1
S00376,V0290,2024-11-29,AC Repair,D. Singh,1634.1,1
S00377,V0099,2025-08-20,Suspension Work,R. Sharma,5630.64,1
S00378,V0183,2026-01-04,Brake Repair,M. Khan,4754.5,1
S00379,V0033,2025-12-29,Body Repair,K. Reddy,18575.2,7
S00380,V0539,2025-09-15,Body Repair,P. Nair,11723.85,1
S00381,V0376,2024-11-21,Oil Change,A. Verma,1450.22,1
S00382,V0214,2024-09-01,Insurance Claim,A. Verma,41460.12,7
S00383,V0063,2025-01-08,AC Repair,K. Reddy,1726.18,3
S00384,V0060,2026-04-21,Battery Check,A. Verma,345.63,2
S00385,V0080,2024-08-27,Oil Change,A. Verma,2077.21,1
S00386,V0237,2025-06-28,Suspension Work,M. Khan,5769.97,2
S00387,V0184,2025-09-16,Suspension Work,K. Reddy,4497.98,1
S00388,V0367,2025-05-01,Insurance Claim,K. Reddy,31198.12,1
S00389,V0171,2026-08-18,Brake Repair,,4558.39,3
S00390,V0162,2025-12-18,Suspension Work,N. Gupta,5618.01,3
S00391,V0323,2026-06-25,Suspension Work,D. Singh,3863.25,3
S00392,V0423,2026-08-22,Insurance Claim,D. Singh,32634.0,2
S00393,V0220,2026-07-13,Software Update,P. Nair,982.06,3
S00394,V0464,2026-01-04,Motor Repair,R. Sharma,14479.33,1
S00395,V0292,2024-09-21,Oil Change,P. Nair,2963.38,1
S00396,V0308,2025-07-15,Motor Repair,R. Sharma,9382.05,2
S00397,V0524,2024-12-23,Suspension Work,S. Iyer,3262.46,1
S00398,V0039,2026-07-02,Software Update,P. Nair,606.27,3
S00399,V0256,2026-03-03,Brake Repair,A. Verma,4132.99,5
S00400,V0223,2026-06-13,Battery Check,N. Gupta,1627.75,1
S00401,V0500,2024-12-27,Body Repair,A. Verma,10986.81,2
S00402,V0039,2025-05-17,Battery Check,D. Singh,1684.83,3
S00403,V0445,2024-11-27,Software Update,A. Verma,449.57,2
S00404,V0012,2025-05-07,Insurance Claim,K. Reddy,37632.94,1
S00405,V0313,2024-09-28,General Service,S. Iyer,2428.12,3
S00406,V0515,2025-08-19,General Service,K. Reddy,3477.63,7
S00407,V0517,2024-12-24,Motor Repair,K. Reddy,16799.31,1
S00408,V0136,2026-07-31,General Service,R. Sharma,2899.66,5
S00409,V0269,2025-04-26,Software Update,S. Iyer,959.53,1
S00410,V0493,2025-12-31,Brake Repair,M. Khan,4858.13,2
S00411,V0249,2026-04-21,Software Update,D. Singh,979.96,1
S00412,V0116,2026-05-05,Insurance Claim,D. Singh,36630.08,3
